username,exact_match,followers,raw_followers,network,engagement,categories,location_0,likesCount,commentsCount
han.hang,TRUE,821.4K,821398,ig,1.77,['Media'],Vietnam,3088,23
,,,,,,,,15961,81
,,,,,,,,17881,93
,,,,,,,,13777,105
,,,,,,,,37824,532
,,,,,,,,77166,133
,,,,,,,,15074,57
,,,,,,,,12230,126
,,,,,,,,15023,134
,,,,,,,,6943,38
,,,,,,,,12591,58
,,,,,,,,12890,27
,,,,,,,,790,15
,,,,,,,,6810,102
,,,,,,,,608,8
,,,,,,,,432,15
,,,,,,,,506742,17438
,,,,,,,,6270,226
,,,,,,,,53885,21
,,,,,,,,766,8
heanuu,TRUE,114.6K,114605,ig,1.76,['Family'],South Korea,23040,202
,,,,,,,,25008,373
,,,,,,,,7440,1031
,,,,,,,,13303,252
,,,,,,,,131,4
,,,,,,,,5763,440
,,,,,,,,13316,167
,,,,,,,,13788,211
,,,,,,,,6600,161
,,,,,,,,12357,150
,,,,,,,,20535,561
,,,,,,,,54860,365
,,,,,,,,89846,1518
,,,,,,,,26058,170
,,,,,,,,17770,284
,,,,,,,,6052,334
,,,,,,,,5637,57
ssunbiki,TRUE,695.9K,695905,ig,2.94,['Medicine and Nutrition'],Switzerland,740812,4553
,,,,,,,,1082,11
,,,,,,,,561,32
,,,,,,,,238,13
,,,,,,,,1421,8
,,,,,,,,2058,158
,,,,,,,,1342,8
,,,,,,,,2128,24
,,,,,,,,207,3
,,,,,,,,967,24
,,,,,,,,1001,40
,,,,,,,,538,33
,,,,,,,,334,2
,,,,,,,,1972,43
,,,,,,,,1341,11
,,,,,,,,54,1
,,,,,,,,48,5
phannuuyennhi,TRUE,66.4K,66360,ig,0.21,['Media'],Australia,6385,10
,,,,,,,,6403,5
,,,,,,,,6232,6
,,,,,,,,4881,8
,,,,,,,,32110,20
,,,,,,,,32040,151
,,,,,,,,15387,44
,,,,,,,,34907,153
,,,,,,,,7053,9
,,,,,,,,4849,4
,,,,,,,,19667,46
tinasbeautytips,TRUE,71.5K,71456,ig,0.5,['Beauty'],United States,9386,6
,,,,,,,,123,13
,,,,,,,,49,0
,,,,,,,,542,3
,,,,,,,,80,4
,,,,,,,,24086,23
,,,,,,,,5191,6
,,,,,,,,7885,31
,,,,,,,,468237,2953
ngocmintmint,TRUE,119.7K,119656,ig,1.62,['Spirituality and Mindfulness'],Vietnam,635,24
,,,,,,,,62139,349
,,,,,,,,1028,13
,,,,,,,,1203,24
,,,,,,,,476146,842
,,,,,,,,766,22
,,,,,,,,69695,173
,,,,,,,,28909,118
,,,,,,,,562955,2649
trinh.phamm,TRUE,547K,546971,ig,0.79,['Media'],Vietnam,1011526,2895
,,,,,,,,237926,909
,,,,,,,,668126,2929
,,,,,,,,2008489,6666
,,,,,,,,40970,115
,,,,,,,,5422,66
,,,,,,,,51200,525
,,,,,,,,22325,468
,,,,,,,,2671,20
,,,,,,,,16594,33
,,,,,,,,147806,117
,,,,,,,,6166,29
,,,,,,,,58470,69
,,,,,,,,150691,795
,,,,,,,,4370,17
,,,,,,,,1361,15
,,,,,,,,9944,39
trantieuvy_20,TRUE,852.2K,852238,ig,2.22,"['Fashion', 'Beauty']",Vietnam,14229,26
,,,,,,,,7104,29
,,,,,,,,6229,16
,,,,,,,,17390,52
,,,,,,,,10356,8
,,,,,,,,5262,0
,,,,,,,,5486,6
,,,,,,,,17576,11
,,,,,,,,62627,160
,,,,,,,,10403,86
,,,,,,,,6569,5
,,,,,,,,1108514,3337
,,,,,,,,12527,62
,,,,,,,,9253,59
,,,,,,,,3787,42
,,,,,,,,14899,92
,,,,,,,,11062,53
,,,,,,,,15264,91
sheisvn,TRUE,176.3K,176342,ig,2.27,"['Beauty', 'Fashion']",Vietnam,14766,276
,,,,,,,,1967,24
,,,,,,,,12743,187
,,,,,,,,886,27
,,,,,,,,4911,169
,,,,,,,,103381,434
,,,,,,,,562,10
,,,,,,,,3603,60
,,,,,,,,1209,12
,,,,,,,,22786,248
,,,,,,,,1248,6
,,,,,,,,623,10
,,,,,,,,620834,2380
,,,,,,,,557,4
,,,,,,,,458,9
,,,,,,,,616,5
,,,,,,,,2184,13
,,,,,,,,555,4
w4w4_zainal,TRUE,4.2M,4171142,ig,0.7,['Business'],Malaysia,419,25
,,,,,,,,1276,36
,,,,,,,,106064,97
,,,,,,,,19652,12
,,,,,,,,1137,10
,,,,,,,,2186,3
,,,,,,,,388,3
,,,,,,,,3170,59
,,,,,,,,969,6
,,,,,,,,5177,105
lisafiitt,TRUE,3.7M,3660898,ig,0.83,['Fitness and Wellness'],United Kingdom,13946,119
,,,,,,,,9427,144
,,,,,,,,58999,284
,,,,,,,,37755,140
,,,,,,,,303326,701
,,,,,,,,92566,720
,,,,,,,,192445,511
,,,,,,,,255946,544
,,,,,,,,234565,568
,,,,,,,,15534,125
,,,,,,,,224588,362
camillecerf,TRUE,1.2M,1215463,ig,1.45,"['Travel', 'Fashion']",United States,3047,25
,,,,,,,,17995,24
,,,,,,,,4753,14
,,,,,,,,12445,80
,,,,,,,,3198,21
,,,,,,,,2279,19
,,,,,,,,5698,63
,,,,,,,,5651,143
,,,,,,,,2138,17
,,,,,,,,2805,12
,,,,,,,,3446,32
,,,,,,,,83716,684
,,,,,,,,3987,65
,,,,,,,,109,2
,,,,,,,,399,2
,,,,,,,,261,1
,,,,,,,,228,3
clara.berry,TRUE,830.9K,830881,ig,0.65,['Family'],France,30551,60
,,,,,,,,7143,24
,,,,,,,,4397,15
,,,,,,,,3150,47
,,,,,,,,119,1
,,,,,,,,2046,25
,,,,,,,,2049,26
,,,,,,,,1116,3
,,,,,,,,2043,21
,,,,,,,,2031,21
,,,,,,,,260,8
,,,,,,,,4699,15
,,,,,,,,2028,13
,,,,,,,,245,2
,,,,,,,,2039,20
samratumaitavuki,TRUE,1.2M,1171226,ig,0.86,['Business'],United Arab Emirates,1800,24
,,,,,,,,6390,57
,,,,,,,,246,2
,,,,,,,,14726,83
,,,,,,,,159,4
,,,,,,,,5463,31
,,,,,,,,203,0
,,,,,,,,3712,17
,,,,,,,,305,1
,,,,,,,,5401,41
,,,,,,,,47197,405
,,,,,,,,20246,52
,,,,,,,,77168,1615
,,,,,,,,12737,199
,,,,,,,,1555,27
,,,,,,,,13935,241
chipupu,TRUE,6M,5951153,ig,0.45,"['Music', 'Business', 'Cinema and Acting']",Vietnam,9000,25
,,,,,,,,23817,57
,,,,,,,,1581,14
,,,,,,,,8351,38
,,,,,,,,15600,66
,,,,,,,,8377,147
,,,,,,,,3441,37
,,,,,,,,4158,50
,,,,,,,,4091,116
,,,,,,,,3007,16
charlidamelio,TRUE,43.1M,43115904,ig,0.68,"['Dance', 'Fashion']",United States,1275,15
,,,,,,,,1851,15
,,,,,,,,103111,295
,,,,,,,,38699,32
,,,,,,,,61149,62
,,,,,,,,29585,50
,,,,,,,,1250,37
,,,,,,,,200128,379
,,,,,,,,20693,102
,,,,,,,,25452,33
,,,,,,,,2674,1
blackiii_d,TRUE,157K,156998,ig,0.68,[],Vietnam,277,2
,,,,,,,,187,2
,,,,,,,,8862,328
,,,,,,,,33220,901
,,,,,,,,176,16
,,,,,,,,1783,66
,,,,,,,,6496,87
,,,,,,,,8937,302
,,,,,,,,10415,254
,,,,,,,,3851,26
,,,,,,,,41287,354
alexricee,TRUE,1.1M,1122532,ig,1.37,['Fitness and Wellness'],United States,10785,14
,,,,,,,,2253,21
,,,,,,,,1448,5
,,,,,,,,2603,0
,,,,,,,,3855,40
,,,,,,,,24043,0
,,,,,,,,70512,156
,,,,,,,,3090,9
,,,,,,,,9101,0
